Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Age
20990,Red,Dobermann,AMY,Desexed Female,WATERLOO CORNER,6
21900,Black,German Shepherd Dog,DOMINO,Desexed Female,MACDONALD PARK,11
25702,Brown/Tan,Dobermann,RUFUS,Desexed Male,WATERLOO CORNER,12
25703,Grey/Tan,Dobermann,E T,Desexed Male,WATERLOO CORNER,13
26898,Blenheim,Spaniel,SAMO,Male,HILLIER,3
26899,Blenheim,Spaniel,ANDY,Male,HILLIER,5
26900,Tri-Colored,Spaniel,GIDGET,Female,HILLIER,11
26901,Blenheim,Spaniel,CORKY,Female,HILLIER,4
26938,Black,Rottweiler,SPYDA,Desexed Female,WATERLOO CORNER,8
27181,Blue,Australian Cattle Dog,TUPPY,Male,ANGLE VALE,7
32485,White,Australian Kelpie X,CHELSEA,Desexed Female,HILLBANK,9
59138,Blue/Roan,Australian Cattle Dog,DAPPLES,Desexed Male,ELIZABETH DOWNS,6
60736,Fawn,Greyhound,LADY,Desexed Female,ELIZABETH NORTH,8
60997,Black/White,Border Collie,RAEGAN,Female,ELIZABETH PARK,14
100268,Tan,Tenterfield Terrier,CONAN,Male,BLAKEVIEW,13
100270,Black,Terrier X,LADY,Desexed Female,WATERLOO CORNER,9
100568,White,Poodle X,CLOE,Desexed Female,HILLBANK,11
101440,Gold,Golden Retriever,GRACE,Female,CRAIGMORE,2
101811,Black/Grey,Australian Cattle Dog X,MAX,Male,ONE TREE HILL,9
101924,Black,Australian Kelpie X,SNOOP,Desexed Female,MUNNO PARA,1
102281,Sable/White,Collie (Rough),BRIDIE,Female,ANGLE VALE,4
102807,Apricot,Poodle (Toy),LEE-LA,Desexed Female,SMITHFIELD,2
102880,Black,Poodle (Miniature),EBONY,Female,ELIZABETH DOWNS,12
102891,Cream/Brown,Jack Russell Terrier,MAX,Male,HILLBANK,3
103228,White,Poodle,MARGIE,Desexed Female,ELIZABETH VALE,6
103776,Silver,Poodle,MONET,Female,ELIZABETH NORTH,2
103831,White/Black,Maltese X,ZORRO,Desexed Male,ONE TREE HILL,2
104014,Apricot,Poodle (Toy),BOBBY,Male,ELIZABETH VALE,14
104394,White,Maltese,SALLY,Female,ELIZABETH EAST,4
104550,Tri-Colored,Jack Russell Terrier,TYSON,Male,ANDREWS FARM,8
104785,White,Poodle,HONEY,Desexed Female,CRAIGMORE,12
104945,Black/Red,Chihuahua,RUSTY,Desexed Male,ELIZABETH DOWNS,9
105096,Blue,Australian Cattle Dog,DAYNA,Female,CRAIGMORE,5
